caseid,presvote,partyid,age,fincome,female,white,BushFT,ClintonFT,PerotFT,candid,vote,FT,clintondummy,perotdummy,PIDxClinton,PIDxPerot,partisan,bushdummy,PIDxBush,votehat,altvotehat
5418,1,4,27,10,0,1,70,70,70,2,0,70,1,0,4,0,major,0,0,.37771404,.99093628
5418,1,4,27,10,0,1,70,70,70,3,0,70,0,1,0,4,minor,0,0,.33831009,.98989129
5420,1,7,36,15,0,1,85,30,15,1,1,85,0,0,0,0,major,1,7,.9858067,.99529278
5420,1,7,36,15,0,1,85,30,15,2,0,30,1,0,7,0,major,0,0,.0061643263,.56936389
5420,1,7,36,15,0,1,85,30,15,3,0,15,0,1,0,7,minor,0,0,.0080289692,.63263404
5422,1,6,74,2,1,1,40,15,0,1,1,40,0,0,0,0,major,1,6,.8747834,.92549759
5422,1,6,74,2,1,1,40,15,0,2,0,15,1,0,6,0,major,0,0,.068087406,.49157983
5422,1,6,74,2,1,1,40,15,0,3,0,0,0,1,0,6,minor,0,0,.057129171,.44789946
5423,1,6,49,12,1,1,85,100,60,1,1,85,0,0,0,0,major,1,6,.46841317,.99529278
5423,1,6,49,12,1,1,85,100,60,2,0,100,1,0,6,0,major,0,0,.45289797,.99513233
5423,1,6,49,12,1,1,85,100,60,3,0,60,0,1,0,6,minor,0,0,.078688875,.97261757
5425,2,1,82,12,0,1,0,90,40,1,0,0,0,0,0,0,major,1,1,.00038574231,.5
5425,2,1,82,12,0,1,0,90,40,2,1,90,1,0,1,0,major,0,0,.98945546,.9996103
5425,2,1,82,12,0,1,0,90,40,3,0,40,0,1,0,1,minor,0,0,.010158803,.96341783
5427,3,6,75,21,1,1,40,30,60,1,0,40,0,0,0,0,major,1,6,.24633288,.92549759
5427,3,6,75,21,1,1,40,30,60,2,0,30,1,0,6,0,major,0,0,.049319144,.71323109
5427,3,6,75,21,1,1,40,30,60,3,1,60,0,1,0,6,minor,0,0,.70434797,.97261757
5431,2,1,38,16,0,0,50,70,60,1,0,50,0,0,0,0,major,1,1,.027634824,.95888412
5431,2,1,38,16,0,0,50,70,60,2,1,70,1,0,1,0,major,0,0,.86237645,.99862784
5431,2,1,38,16,0,0,50,70,60,3,0,60,0,1,0,1,minor,0,0,.10998873,.98934144
5432,2,3,41,18,0,1,30,70,15,1,0,30,0,0,0,0,major,1,3,.030634463,.86871278
5432,2,3,41,18,0,1,30,70,15,2,1,70,1,0,3,0,major,0,0,.95217252,.99516124
5432,2,3,41,18,0,1,30,70,15,3,0,15,0,1,0,3,minor,0,0,.017193032,.78784823
5433,1,2,49,21,1,1,85,70,50,1,1,85,0,0,0,0,major,1,2,.3308284,.99529278
5433,1,2,49,21,1,1,85,70,50,2,0,70,1,0,2,0,major,0,0,.60533381,.99742192
5433,1,2,49,21,1,1,85,70,50,3,0,50,0,1,0,2,minor,0,0,.063837819,.9760766
5434,2,3,55,19,1,1,50,60,40,1,0,50,0,0,0,0,major,1,3,.15464744,.95888412
5434,2,3,55,19,1,1,50,60,40,2,1,60,1,0,3,0,major,0,0,.72643101,.99095422
5434,2,3,55,19,1,1,50,60,40,3,0,40,0,1,0,3,minor,0,0,.11892156,.94718462
5436,1,5,76,10,1,1,70,40,50,1,1,70,0,0,0,0,major,1,5,.72161072,.98798043
5436,1,5,76,10,1,1,70,40,50,2,0,40,1,0,5,0,major,0,0,.077110283,.89778721
5436,1,5,76,10,1,1,70,40,50,3,0,50,0,1,0,5,minor,0,0,.20127898,.95820683
5437,2,1,26,19,1,0,10,75,0,1,0,10,0,0,0,0,major,1,1,.0018751746,.65246111
5437,2,1,26,19,1,0,10,75,0,2,1,75,1,0,1,0,major,0,0,.99600726,.99899817
5437,2,1,26,19,1,0,10,75,0,3,0,0,0,1,0,1,minor,0,0,.0021175353,.67948937
