country,ccode,year,exptorev,lnpop,lngnp,lnimports,lnexports,democracy
DENMARK,320,1978,1.1388888,8.5373878,9.2023087,0.39251497,0.17252372,10
DENMARK,320,1979,1.1180044,8.5405188,9.3444338,0.60981995,0.38499022,10
DENMARK,320,1980,1.0984272,8.5411053,9.4688511,0.65959042,0.51575351,10
DENMARK,320,1981,1.3327661,8.5416908,9.4818926,0.56389236,0.4759236,10
DENMARK,320,1982,1.2405146,8.5418854,9.4214115,0.52253681,0.42585579,10
DENMARK,320,1983,1.1972214,8.5420809,9.3492327,0.46837726,0.48304328,10
DENMARK,320,1984,1.1146252,8.5420809,9.3236694,0.48765934,0.474929,10
DENMARK,320,1985,1.0287273,8.5422764,9.3272343,0.58148909,0.53783745,10
DENMARK,320,1986,0.90688449,8.5424709,9.4390678,0.80455434,0.75645059,10
DENMARK,320,1987,0.91536641,8.5426664,9.609787,0.91228271,0.94371134,10
DENMARK,320,1988,0.95536911,8.542861,9.8239031,0.94211435,1.0129454,10
DENMARK,320,1989,0.98320758,8.543251,9.9398193,0.96713591,1.0552872,10
DENMARK,320,1990,1.024966,8.5438347,10.00288,1.1377368,1.2829318,10
DENMARK,320,1991,1.0310534,8.5475283,10.075759,1.1642439,1.3024507,10
DENMARK,320,1992,1.0518265,8.5506277,10.130504,1.207347,1.4024137,10
DENMARK,320,1993,1.0782475,8.5542965,10.185277,1.0672249,1.310223,10
DENMARK,320,1994,1.1606349,8.5577593,10.240031,1.2327935,1.4297608,10
FINLAND,380,1953,1.0665971,8.3286924,5.9480348,-2.9374633,-2.8612013,10
FINLAND,380,1954,1.0085596,8.340456,6.196444,-2.7241795,-2.6867781,10
FINLAND,380,1955,1.0847713,8.3525543,6.3969297,-2.5652494,-2.5408423,10
FINLAND,380,1956,1.0061704,8.364275,6.5624442,-2.4247527,-2.5587685,10
FINLAND,380,1957,1.0193772,8.3747072,6.7056389,-2.4179959,-2.4937456,10
FINLAND,380,1958,1.0850034,8.3799982,6.8308744,-2.6186666,-2.5574772,10
FINLAND,380,1959,1.0060939,8.3929892,6.9295168,-2.4829087,-2.4829087,10
FINLAND,380,1960,1.0237658,8.3997602,7.0192966,-2.2414901,-2.3136461,10
FINLAND,380,1961,1.0948678,8.4044724,7.1024995,-2.1602178,-2.2499926,10
FINLAND,380,1962,1.1758864,8.4127216,7.1785455,-2.0980129,-2.2036452,10
FINLAND,380,1963,1.1309873,8.4211226,7.2499256,-2.1136189,-2.1636932,10
FINLAND,380,1964,1.062863,8.4228821,7.3613753,-1.8937922,-2.047168,10
FINLAND,380,1965,1.0772856,8.4250774,7.4622149,-1.8048447,-1.9470108,10
FINLAND,380,1966,1.0485115,8.4294538,7.5288692,-1.7567785,-1.8937922,10
FINLAND,380,1967,1.3391945,8.4359827,7.5352969,-1.773134,-1.8740547,10
FINLAND,380,1968,1,8.4403124,7.4500794,-1.836966,-1.8103309,10
FINLAND,380,1969,1.028592,8.4381504,7.5725031,-1.5970154,-1.6159592,10
FINLAND,380,1970,1,8.4359827,7.7731738,-1.3333225,-1.4670707,10
FINLAND,380,1971,0.98175251,8.4381504,7.9391589,-1.2751108,-1.4451954,10
FINLAND,380,1972,0.97664994,8.4403124,8.0833282,-1.1403722,-1.2217973,10
FINLAND,380,1973,1.0038471,8.4467707,8.2087641,-0.83309913,-0.96050388,10
FINLAND,380,1974,1.0179636,8.4514809,8.507143,-0.37775266,-0.59965682,10
FINLAND,380,1975,0.98126417,8.4568062,8.6287346,-0.27102163,-0.59747344,10
FINLAND,380,1976,0.90369713,8.4610462,8.6810112,-0.30205145,-0.45539096,10
FINLAND,380,1977,0.92981374,8.4631596,8.73069,-0.27338475,-0.26592058,10
FINLAND,380,1978,0.98451763,8.4650574,8.8276148,-0.24003543,-0.15431736,10
FINLAND,380,1979,1.0536407,8.4688425,9.0501719,0.11662683,0.111094,10
FINLAND,380,1980,1.0305181,8.4728231,9.181941,0.44673499,0.34840083,10
FINLAND,380,1981,0.99424046,8.4767876,9.2761278,0.35009331,0.33682936,10
FINLAND,380,1982,1.0567003,8.4807367,9.2928419,0.29214713,0.26872858,10
FINLAND,380,1983,1.1017855,8.4848766,9.2533998,0.18315452,0.19655317,10
FINLAND,380,1984,1.0353427,8.4887934,9.2873011,0.14634894,0.26903427,10
FINLAND,380,1985,1.0230101,8.4929008,9.2937622,0.22098124,0.28900623,10
FINLAND,380,1986,0.99119169,8.4967861,9.4050846,0.36207038,0.47031608,10
FINLAND,380,1987,1.0570256,8.5008602,9.5935602,0.57097954,0.64600313,10
FINLAND,380,1988,0.97980708,8.5047159,9.8314543,0.72687203,0.78051686,10
FINLAND,380,1989,0.94518965,8.5087576,10.004237,0.85352129,0.84367698,10
FINLAND,380,1990,0.99020207,8.5127831,10.168541,0.9489128,0.97572875,10
FINLAND,380,1991,1.2971497,8.5167933,10.082889,0.72938269,0.83156037,10
FINLAND,380,1992,1.3016042,8.5223799,9.9667444,0.70136333,0.8730492,10
FINLAND,380,1993,1.3643361,8.5307016,9.8506136,0.54331213,0.85347873,10
FINLAND,380,1994,1.3643076,8.536211,9.734477,0.79953212,1.0896052,10
FRANCE,390,1950,1.1662816,10.64328,6.8490663,-1.1940224,-1.1917149,10
FRANCE,390,1951,1.1146693,10.650199,6.8710914,-0.80810922,-0.89550817,10
FRANCE,390,1952,1.058605,10.657682,6.8926415,-0.83794177,-0.96050388,10
FRANCE,390,1953,1.2249436,10.666277,6.9137373,-0.93089688,-0.97233212,10
FRANCE,390,1954,1.103099,10.674244,6.933423,-0.86251301,-0.87203467,10
FRANCE,390,1955,1.1469234,10.683432,6.9527287,-0.746759,-0.71090388,10
FRANCE,390,1956,1.1985713,10.693285,6.9716687,-0.58734673,-0.78943783,10
FRANCE,390,1957,1.131409,10.704659,6.9902563,-0.49265832,-0.68023092,10
FRANCE,390,1958,1.0502716,10.714751,7.009409,-0.52424866,-0.61989677,5
FRANCE,390,1959,0.98890638,10.724698,7.1180162,-0.6520052,-0.56916124,5
FRANCE,390,1960,0.96265346,10.734307,7.2167096,-0.46585223,-0.37658611,5
FRANCE,390,1961,0.98847467,10.745529,7.30586,-0.40376654,-0.32711613,5
FRANCE,390,1962,0.97508842,10.77002,7.3883281,-0.285418,-0.30638927,5
FRANCE,390,1963,0.96462423,10.780185,7.46451,-0.13616346,-0.21294573,5
FRANCE,390,1964,0.95621943,10.790597,7.544332,0.006876257,-0.10613862,5
FRANCE,390,1965,0.97351855,10.798636,7.6182513,0.033338081,0.005087051,5
FRANCE,390,1966,0.98932958,10.807179,7.6934814,0.16915184,0.085167982,5
FRANCE,390,1967,1.0491,10.814223,7.7591872,0.21357799,0.12927234,5
FRANCE,390,1968,1.0721,10.821877,7.8438487,0.33124429,0.23680973,5
FRANCE,390,1969,0.99529994,10.826158,7.9312849,0.5434283,0.39716408,8
FRANCE,390,1970,1.0464,10.835198,8.1080208,0.63774019,0.57318056,8
FRANCE,390,1971,0.99807036,10.844666,8.2584229,0.74843991,0.71392977,8
FRANCE,390,1972,0.97409284,10.853213,8.3891325,0.98264009,0.94964814,8
FRANCE,390,1973,0.97665113,10.861496,8.5047159,1.3079814,1.2687769,8
FRANCE,390,1974,0.93129301,10.868702,8.640295,1.6660829,1.5315845,8
FRANCE,390,1975,1.1455253,10.871573,8.7111139,1.685732,1.6699308,8
FRANCE,390,1976,1.036038,10.875799,8.8143301,1.8623887,1.7433043,8
FRANCE,390,1977,1.1203513,10.880027,8.922658,1.952985,1.8717561,8
FRANCE,390,1978,1.0387958,10.884217,9.0203896,2.1016309,2.0716362,8
FRANCE,390,1979,1.0168988,10.887026,9.2733154,2.3703184,2.317976,8
FRANCE,390,1980,1.0006326,10.88908,9.3699045,2.6017559,2.451143,8
FRANCE,390,1981,1.047869,10.893735,9.408371,2.4928169,2.3648555,8
FRANCE,390,1982,1.0572919,10.903127,9.3535748,2.4484847,2.2689042,8
FRANCE,390,1983,1.0735853,10.9081,9.2485991,2.2870653,2.1939526,8
FRANCE,390,1984,1.0691371,10.913087,9.1911573,2.2707331,2.2215269,8
FRANCE,390,1985,1.0698117,10.918066,9.235033,2.3145432,2.2610023,8
FRANCE,390,1986,0.73956656,10.923057,9.2789335,2.4968436,2.4795589,9
FRANCE,390,1987,1.0539209,10.928041,9.4657574,2.7102146,2.6508305,9
FRANCE,390,1988,1.0482743,10.933018,9.6853313,2.825691,2.7737632,9
FRANCE,390,1989,1.040118,10.938005,9.7903185,2.9041157,2.8459902,9
FRANCE,390,1990,1.0497599,10.944029,9.8771439,3.1009297,3.0394237,9
FRANCE,390,1991,1.0666251,10.950351,9.9262266,3.0859659,3.0405717,9
FRANCE,390,1992,1.1074765,10.956335,9.9706316,3.1138308,3.1243103,9
FRANCE,390,1993,1.1632117,10.962388,10.015029,2.9524488,2.9909408,8
FRANCE,390,1994,1.1613472,10.966524,10.015699,3.0804272,3.1122968,8
GERMANY,420,1990,1.660073,11.282657,9.8593788,3.5318747,3.7158134,10
GERMANY,420,1991,1.7673889,11.28982,9.928668,3.6466241,3.6972692,10
GERMANY,420,1992,1.6456486,11.296968,9.9979792,3.6926475,3.7617347,10
GERMANY,420,1993,1.7315071,11.304129,10.067306,3.5285053,3.8763752,10
GERMANY,420,1994,1.8218459,11.307597,10.136621,3.6338687,3.7618279,10
GERMANY,431,1950,1.158444,10.775764,6.7719355,-1.3104451,-1.6215105,10
GERMANY,431,1951,1.2633823,10.786614,6.7889719,-1.0523969,-1.0604498,10
GERMANY,431,1952,1.1342771,10.793023,6.8057227,-0.96390659,-0.91579086,10
GERMANY,431,1953,1.0535114,10.802693,6.8221974,-0.97524488,-0.82348371,10
GERMANY,431,1954,0.9498288,10.813438,6.8426833,-0.78285307,-0.64473802,10
GERMANY,431,1955,0.89156687,10.823133,6.8627577,-0.5459348,-0.48857501,10
GERMANY,431,1956,0.86538237,10.835159,6.8834624,-0.41294298,-0.30679691,10
GERMANY,431,1957,0.987836,10.848482,6.9027429,-0.28781545,-0.15373407,10
GERMANY,431,1958,1.1002809,10.861553,6.9226437,-0.25747624,-0.081210062,10
GERMANY,431,1959,1.0808767,10.873982,7.04316,-0.1531512,-0.002001977,10
